,name,basetime,fctime,diag,obs,mb000
FF300_MAX_S4-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,ff300_max_s4,20.460646587979898,-1.0265376329327722
Z500_P-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,z500_p,49090.79485833026,-580.0670916128656
TTE-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,tte,0.0,106.09239623839981
MSLP_MIN_P-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,mslp_min_p,97118.37829666608,-175.73078285425436
FF10M_MAX_S4-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,ff10m_max_s4,17.08903661321997,-3.381397905136989
FF925_MAX_S4-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,ff925_max_s4,21.466894204843538,-5.333058888393445
FF300_MAX_S4-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,ff300_max_s4,25.845333593723026,-5.0964113975332666
Z500_P-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,z500_p,49426.3719677836,-821.3355535495139
TTE-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,tte,0.0,79.83776021248472
MSLP_MIN_P-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,mslp_min_p,97155.93682655154,-118.23070212453604
FF10M_MAX_S4-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,ff10m_max_s4,16.82528077889908,-1.7419553006867456
FF925_MAX_S4-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,ff925_max_s4,21.078119837392787,-3.365198408360378
FF300_MAX_S4-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,ff300_max_s4,29.350741000000244,-9.26418334540805
Z500_P-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,z500_p,49786.46542443516,-1015.4636270649644
TTE-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,tte,0.0,7.940718980006965
MSLP_MIN_P-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,mslp_min_p,97862.89203630628,-79.38179012252658
FF10M_MAX_S4-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,ff10m_max_s4,14.498210003458802,0.8966905017227287
FF925_MAX_S4-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,ff925_max_s4,17.676653400132782,0.9165143037409287
FF300_MAX_S4-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,ff300_max_s4,16.642402063072957,0.036593767273654265
Z500_P-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,z500_p,49110.93245779499,-430.4222620753426
TTE-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,tte,0.0,5.9666192430887195
MSLP_MIN_P-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,mslp_min_p,97788.93842830407,-70.65397000403027
FF10M_MAX_S4-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,ff10m_max_s4,19.175634963899526,-1.0020393700832102
FF925_MAX_S4-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,ff925_max_s4,23.991735020915918,-0.9475158366890106
FF300_MAX_S4-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,ff300_max_s4,14.661235592689863,1.3136373833067605
Z500_P-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,z500_p,49079.33407887243,-452.69449914280267
TTE-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,tte,0.0,44.9293665901043
MSLP_MIN_P-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,mslp_min_p,97788.56951245615,-40.07576879046974
FF10M_MAX_S4-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,ff10m_max_s4,19.47078775527108,1.1639673702102442
FF925_MAX_S4-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,ff925_max_s4,24.485744151815176,1.1005303167302891
FF300_MAX_S4-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,ff300_max_s4,19.098558100724137,0.09766279348034246
Z500_P-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,z500_p,49195.42982899015,-490.20213187730405
TTE-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,tte,0.0,49.85761228817485
MSLP_MIN_P-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,mslp_min_p,97710.32313651899,15.511399303301005
FF10M_MAX_S4-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,ff10m_max_s4,19.539980323558847,0.17154963806280676
FF925_MAX_S4-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,ff925_max_s4,25.922325507827495,-0.45632581592492727
FF300_MAX_S4-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,ff300_max_s4,13.810558371136027,1.23839115202024
Z500_P-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,z500_p,49002.79213558473,-340.35907458411384
TTE-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,tte,0.0,29.4939467004961
MSLP_MIN_P-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,mslp_min_p,97496.96279565494,18.990454997911
FF10M_MAX_S4-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,ff10m_max_s4,19.33089691884171,0.28127136668196684
FF925_MAX_S4-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,ff925_max_s4,25.245270668205553,-0.35759264511295896
FF300_MAX_S4-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,ff300_max_s4,19.435608316971614,2.209866824879409
Z500_P-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,z500_p,48853.83423230129,-358.48413782185526
TTE-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,tte,0.0,83.41740239915163
MSLP_MIN_P-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,mslp_min_p,97281.77536255152,-39.9874073247629
FF10M_MAX_S4-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,ff10m_max_s4,20.60706642275517,-0.5861852008074493
FF925_MAX_S4-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,ff925_max_s4,26.216440392721946,-0.9526070658342007
FF300_MAX_S4-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,ff300_max_s4,20.726269617354866,4.2466668762570094
Z500_P-VDG-2021121000-1-2021121200-036,VDG-2021121000-1,2021121200,36,z500_p,48655.83294741656,-250.221010815716
TTE-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,tte,0.0,133.69192530733804
MSLP_MIN_P-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,mslp_min_p,97019.20576862663,-45.07038017651939
FF10M_MAX_S4-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,ff10m_max_s4,19.76356057010763,0.28517463358758377
FF925_MAX_S4-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,ff925_max_s4,24.35171537010191,-0.23115191578166616
FF300_MAX_S4-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,ff300_max_s4,19.60662985696555,3.142369955038159
Z500_P-VDG-2021121000-1-2021121200-042,VDG-2021121000-1,2021121200,42,z500_p,48516.676092018904,-272.81495046753116
TTE-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,tte,0.0,159.05260806128584
MSLP_MIN_P-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,mslp_min_p,96859.6035124035,72.2491175555333
FF10M_MAX_S4-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,ff10m_max_s4,20.329295673969906,-0.6834177822055487
FF925_MAX_S4-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,ff925_max_s4,25.46211727055368,-1.781261037415149
FF300_MAX_S4-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,ff300_max_s4,17.401193760291427,-4.826072566955867
Z500_P-VDG-2021121000-1-2021121200-048,VDG-2021121000-1,2021121200,48,z500_p,48724.5539523238,-559.0113187865645
