,name,basetime,fctime,diag,obs,mb000
TTE-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,tte,0.0,11.434637968774048
MSLP_MIN_P-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,mslp_min_p,97788.56951245615,-28.556094686951838
FF10M_MAX_S4-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,ff10m_max_s4,19.47078775527108,1.1993150841463986
FF925_MAX_S4-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,ff925_max_s4,24.485744151815176,1.122265837240814
FF300_MAX_S4-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,ff300_max_s4,19.098558100724137,-1.273105475539463
Z500_P-VDG-2021121000-1-2021121200-018,VDG-2021121000-1,2021121200,18,z500_p,49195.42982899015,-493.51527359272586
TTE-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,tte,0.0,53.54661018316475
MSLP_MIN_P-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,mslp_min_p,97710.32313651899,40.906196679366985
FF10M_MAX_S4-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,ff10m_max_s4,19.539980323558847,0.153544428576474
FF925_MAX_S4-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,ff925_max_s4,25.922325507827495,-0.7553189499052486
FF300_MAX_S4-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,ff300_max_s4,13.810558371136027,1.9894155024666151
Z500_P-VDG-2021121000-1-2021121200-024,VDG-2021121000-1,2021121200,24,z500_p,49002.79213558473,-371.6635545058307
TTE-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,tte,0.0,34.27213235311451
MSLP_MIN_P-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,mslp_min_p,97496.96279565494,-29.977447757977643
FF10M_MAX_S4-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,ff10m_max_s4,19.33089691884171,1.2370822322330106
FF925_MAX_S4-VDG-2021121000-1-2021121200-030,VDG-2021121000-1,2021121200,30,ff925_max_s4,25.245270668205553,0.6892197593415332
